epoch,train_loss,val_loss,embedding,split,seed,fraction
0,0.5489668095277622,0.513907965066997,catELMo,tcr,42,1.0
1,0.4941540623532117,0.4814433375756125,catELMo,tcr,42,1.0
2,0.46409286290732277,0.4662029119154944,catELMo,tcr,42,1.0
3,0.43790196548027205,0.4417887278833659,catELMo,tcr,42,1.0
4,0.4173776563984417,0.42186671093904127,catELMo,tcr,42,1.0
5,0.403055269272066,0.4190060480323518,catELMo,tcr,42,1.0
6,0.38862311357621576,0.3988078764256455,catELMo,tcr,42,1.0
7,0.37756449537309383,0.38452343911600106,catELMo,tcr,42,1.0
8,0.36368241617548364,0.38672057519557423,catELMo,tcr,42,1.0
9,0.3546582375704195,0.3779319552783019,catELMo,tcr,42,1.0
10,0.34380405847700085,0.36803796397268806,catELMo,tcr,42,1.0
11,0.3343179685898353,0.37435934328995174,catELMo,tcr,42,1.0
12,0.32397184252381594,0.3639296575746664,catELMo,tcr,42,1.0
13,0.3147780469031901,0.345699571078639,catELMo,tcr,42,1.0
14,0.3054430591681883,0.34906343851312627,catELMo,tcr,42,1.0
15,0.2957841084083656,0.3600029911101733,catELMo,tcr,42,1.0
16,0.28712352854701856,0.3474493339596983,catELMo,tcr,42,1.0
17,0.2794914447737133,0.33675502143004266,catELMo,tcr,42,1.0
18,0.2697841545998261,0.3368139058483045,catELMo,tcr,42,1.0
19,0.2619861716637058,0.33826100614825516,catELMo,tcr,42,1.0
20,0.25220942710676664,0.3405513426318277,catELMo,tcr,42,1.0
21,0.24459372553532344,0.32068623892372916,catELMo,tcr,42,1.0
22,0.23591045266097507,0.31034844014872737,catELMo,tcr,42,1.0
23,0.22640205796900137,0.3189880472281184,catELMo,tcr,42,1.0
24,0.22160134774028079,0.31822224052306347,catELMo,tcr,42,1.0
25,0.21201004704246612,0.3043791992259925,catELMo,tcr,42,1.0
26,0.20397380123811257,0.31944142141422766,catELMo,tcr,42,1.0
27,0.19781454603596982,0.3297897560683424,catELMo,tcr,42,1.0
28,0.18997954929293875,0.3125244031238143,catELMo,tcr,42,1.0
29,0.18387332553916733,0.30304850945267037,catELMo,tcr,42,1.0
30,0.17565769374926468,0.2994516506581414,catELMo,tcr,42,1.0
31,0.1697770669226226,0.36433418761811315,catELMo,tcr,42,1.0
32,0.16313871389270593,0.31328178922226113,catELMo,tcr,42,1.0
33,0.15575058237233125,0.32369616171563037,catELMo,tcr,42,1.0
34,0.152179027511492,0.3209798212591005,catELMo,tcr,42,1.0
35,0.14742925714117291,0.31816873545997676,catELMo,tcr,42,1.0
36,0.1417084206489711,0.32887473693248565,catELMo,tcr,42,1.0
37,0.13609453029567647,0.3152199158095551,catELMo,tcr,42,1.0
38,0.13203539596513025,0.31699445092248246,catELMo,tcr,42,1.0
39,0.12478877287223104,0.31606896657542294,catELMo,tcr,42,1.0
40,0.12417868946362756,0.31388199144492135,catELMo,tcr,42,1.0
41,0.11629505110790572,0.33822085526039364,catELMo,tcr,42,1.0
42,0.11305050636267958,0.3392182845975628,catELMo,tcr,42,1.0
43,0.11008068049233942,0.32992226914537964,catELMo,tcr,42,1.0
44,0.10690030875797325,0.33433571352392066,catELMo,tcr,42,1.0
45,0.10271354691056508,0.3349879061027236,catELMo,tcr,42,1.0
46,0.09901716853830476,0.3536051058686835,catELMo,tcr,42,1.0
47,0.09726185867052133,0.3485855727591218,catELMo,tcr,42,1.0
48,0.09408509728811058,0.3404888796988986,catELMo,tcr,42,1.0
49,0.09337107439451209,0.3421759647248597,catELMo,tcr,42,1.0
50,0.08836863898265093,0.35454299370954057,catELMo,tcr,42,1.0
51,0.08629157692218802,0.35232162961744234,catELMo,tcr,42,1.0
52,0.0824349223494093,0.353272904433699,catELMo,tcr,42,1.0
53,0.08185651314075924,0.36050897132636645,catELMo,tcr,42,1.0
54,0.0792122198842191,0.3685757703244691,catELMo,tcr,42,1.0
55,0.07669668050866131,0.3796493559095502,catELMo,tcr,42,1.0
56,0.07577345160354394,0.3775242098052393,catELMo,tcr,42,1.0
57,0.07609588386008102,0.4054712056493231,catELMo,tcr,42,1.0
58,0.07192644368162589,0.3643896459108666,catELMo,tcr,42,1.0
59,0.07132517512850801,0.36834940906418323,catELMo,tcr,42,1.0
60,0.06776935432919932,0.3772839336026389,catELMo,tcr,42,1.0
