epoch,train_loss,val_loss,embedding,split,seed,fraction
0,0.5442758909178108,0.5075727811959463,catELMo,tcr,44,1.0
1,0.49026269259283933,0.4707480732695844,catELMo,tcr,44,1.0
2,0.46135181959130406,0.46985166762194763,catELMo,tcr,44,1.0
3,0.435469417781777,0.43336139773449034,catELMo,tcr,44,1.0
4,0.4165107352886642,0.4261338709990845,catELMo,tcr,44,1.0
5,0.40095828935347166,0.42593482378916775,catELMo,tcr,44,1.0
6,0.38870593326902775,0.4167749403666497,catELMo,tcr,44,1.0
7,0.375482261023927,0.3956286053971188,catELMo,tcr,44,1.0
8,0.3638022498484785,0.3733472988319635,catELMo,tcr,44,1.0
9,0.3526705212326498,0.37469463600504904,catELMo,tcr,44,1.0
10,0.3431967915889853,0.3611661953542949,catELMo,tcr,44,1.0
11,0.33256072863913005,0.3645808951642293,catELMo,tcr,44,1.0
12,0.3238992314848569,0.3531994872595448,catELMo,tcr,44,1.0
13,0.31410883087481645,0.3461297005588665,catELMo,tcr,44,1.0
14,0.30494378943388756,0.3511749691560207,catELMo,tcr,44,1.0
15,0.29408210381823474,0.3547322425814493,catELMo,tcr,44,1.0
16,0.28642494827339876,0.3368047275660338,catELMo,tcr,44,1.0
17,0.2772522712461426,0.32783563662131165,catELMo,tcr,44,1.0
18,0.2697477067020979,0.33051061846632246,catELMo,tcr,44,1.0
19,0.25992050915954945,0.33071515919961697,catELMo,tcr,44,1.0
20,0.250668109529218,0.3366451394250252,catELMo,tcr,44,1.0
21,0.24324196025511588,0.31601844153038966,catELMo,tcr,44,1.0
22,0.23424132188423627,0.3185069893718659,catELMo,tcr,44,1.0
23,0.22652524831850085,0.3299764515557555,catELMo,tcr,44,1.0
24,0.21917960905367198,0.3121116415001173,catELMo,tcr,44,1.0
25,0.21028265207402608,0.3163995810194278,catELMo,tcr,44,1.0
26,0.2028390328129099,0.3031657257048315,catELMo,tcr,44,1.0
27,0.19480761968693472,0.3034362478617526,catELMo,tcr,44,1.0
28,0.19012442696384965,0.3066502918262069,catELMo,tcr,44,1.0
29,0.1805583238058871,0.3263394092888161,catELMo,tcr,44,1.0
30,0.17434390339000025,0.30544721069780617,catELMo,tcr,44,1.0
31,0.16892749924175898,0.30583130670626096,catELMo,tcr,44,1.0
32,0.16443880485018839,0.3230959099645321,catELMo,tcr,44,1.0
33,0.15884340701648034,0.32658163881321733,catELMo,tcr,44,1.0
34,0.15209152984632293,0.3388770986953246,catELMo,tcr,44,1.0
35,0.14817194790282373,0.307962385422979,catELMo,tcr,44,1.0
36,0.1415490524438377,0.3097675218768759,catELMo,tcr,44,1.0
37,0.13645803161876052,0.30653460332495686,catELMo,tcr,44,1.0
38,0.1309397384441993,0.30718199721383216,catELMo,tcr,44,1.0
39,0.12594533087723217,0.31035979795118457,catELMo,tcr,44,1.0
40,0.12109455580106193,0.3318742511423303,catELMo,tcr,44,1.0
41,0.11871417829497848,0.3296987046409308,catELMo,tcr,44,1.0
42,0.1147491632684687,0.31139647358660894,catELMo,tcr,44,1.0
43,0.10945985997586466,0.3412473142047806,catELMo,tcr,44,1.0
44,0.10951931785371703,0.33702285713597596,catELMo,tcr,44,1.0
45,0.10570030686740699,0.3285388777446588,catELMo,tcr,44,1.0
46,0.10078804475988293,0.34033809828321504,catELMo,tcr,44,1.0
47,0.09692322816727078,0.33377029629770066,catELMo,tcr,44,1.0
48,0.09316990446194667,0.3525719331811608,catELMo,tcr,44,1.0
49,0.09177430864642229,0.3502387087112859,catELMo,tcr,44,1.0
50,0.08909025538682769,0.4415677824484915,catELMo,tcr,44,1.0
51,0.08698534594114384,0.34122008251012315,catELMo,tcr,44,1.0
52,0.08371102615268593,0.3674898962196363,catELMo,tcr,44,1.0
53,0.08226041699533435,0.3641554946605609,catELMo,tcr,44,1.0
54,0.07885845062352566,0.37337840724050947,catELMo,tcr,44,1.0
55,0.07673971719902668,0.36882865128668024,catELMo,tcr,44,1.0
56,0.07530225668100914,0.36951324915409484,catELMo,tcr,44,1.0
