epoch,train_loss,val_loss,embedding,split,seed,fraction
0,0.5472708876942277,0.5178906861539628,catELMo,tcr,45,1.0
1,0.4919847099299051,0.5009677665702057,catELMo,tcr,45,1.0
2,0.46320034401812243,0.46081076079951805,catELMo,tcr,45,1.0
3,0.43536865200381347,0.4437548577059606,catELMo,tcr,45,1.0
4,0.418970325668153,0.43519286661637896,catELMo,tcr,45,1.0
5,0.40138834603848805,0.4194865885374817,catELMo,tcr,45,1.0
6,0.38707868411759255,0.40416030236309153,catELMo,tcr,45,1.0
7,0.3768703286142382,0.3961596634142163,catELMo,tcr,45,1.0
8,0.36254661005997874,0.38494300974659823,catELMo,tcr,45,1.0
9,0.3526595448750532,0.405548145884931,catELMo,tcr,45,1.0
10,0.342325036869547,0.4118149734462685,catELMo,tcr,45,1.0
11,0.33204863488107694,0.3740534782968998,catELMo,tcr,45,1.0
12,0.3247288037260552,0.3876829959298958,catELMo,tcr,45,1.0
13,0.3164317071386875,0.3536550044570936,catELMo,tcr,45,1.0
14,0.3029806443868392,0.36278290443724287,catELMo,tcr,45,1.0
15,0.2950417144003456,0.35786637274050687,catELMo,tcr,45,1.0
16,0.2863136435094301,0.346107470515413,catELMo,tcr,45,1.0
17,0.2770998790987655,0.33766311868349685,catELMo,tcr,45,1.0
18,0.2688902822240804,0.3399384229966358,catELMo,tcr,45,1.0
19,0.2596639045543516,0.3319743675227439,catELMo,tcr,45,1.0
20,0.25090733105426144,0.33520120812495546,catELMo,tcr,45,1.0
21,0.24219618121660094,0.32200857088837986,catELMo,tcr,45,1.0
22,0.23513610952474806,0.3284989683650555,catELMo,tcr,45,1.0
23,0.22657736008995522,0.3517135126395734,catELMo,tcr,45,1.0
24,0.21829360573675186,0.3229688046664856,catELMo,tcr,45,1.0
25,0.21057341773477017,0.32399863865181916,catELMo,tcr,45,1.0
26,0.201836093665782,0.3226881280361813,catELMo,tcr,45,1.0
27,0.19338895789624622,0.30278552498929606,catELMo,tcr,45,1.0
28,0.18774588183841392,0.31069810642817053,catELMo,tcr,45,1.0
29,0.18219288881536785,0.3148388549372875,catELMo,tcr,45,1.0
30,0.1742661616343933,0.3252615589136854,catELMo,tcr,45,1.0
31,0.16779442541198514,0.3076470578604794,catELMo,tcr,45,1.0
32,0.16315470955993375,0.31065768641099456,catELMo,tcr,45,1.0
33,0.15544425407458992,0.3125963420621716,catELMo,tcr,45,1.0
34,0.15068064598391118,0.3273682057516944,catELMo,tcr,45,1.0
35,0.1439543238412976,0.3146335261326574,catELMo,tcr,45,1.0
36,0.13826291592201642,0.340253564833839,catELMo,tcr,45,1.0
37,0.13493872784664904,0.33328907011089937,catELMo,tcr,45,1.0
38,0.12943661483469285,0.34748710172187397,catELMo,tcr,45,1.0
39,0.12349100790495703,0.3286725058564353,catELMo,tcr,45,1.0
40,0.11944673370600688,0.33094961967033526,catELMo,tcr,45,1.0
41,0.11645891551981528,0.32902799671324795,catELMo,tcr,45,1.0
42,0.11205314046528894,0.34168492114344545,catELMo,tcr,45,1.0
43,0.11051929602022946,0.33079362511957994,catELMo,tcr,45,1.0
44,0.1055790521935667,0.330956390745055,catELMo,tcr,45,1.0
45,0.10103372129506016,0.33133769475220987,catELMo,tcr,45,1.0
46,0.09885134476375193,0.3401587992718884,catELMo,tcr,45,1.0
47,0.09415380270003239,0.3591052761550999,catELMo,tcr,45,1.0
48,0.0967941648100226,0.34364071733615376,catELMo,tcr,45,1.0
49,0.0871755271473883,0.3610510820194376,catELMo,tcr,45,1.0
50,0.08480046179299057,0.3653986444476548,catELMo,tcr,45,1.0
51,0.0836201768850955,0.3704843477826055,catELMo,tcr,45,1.0
52,0.08176926510470017,0.3783766832946115,catELMo,tcr,45,1.0
53,0.08016033403613136,0.3890921327244645,catELMo,tcr,45,1.0
54,0.07823020980560741,0.3782215587959161,catELMo,tcr,45,1.0
55,0.07794947538279329,0.3783152710122641,catELMo,tcr,45,1.0
56,0.07205258144313266,0.38181164651909033,catELMo,tcr,45,1.0
57,0.0703084611359217,0.3790306743168675,catELMo,tcr,45,1.0
