epoch,train_loss,val_loss,embedding,split,seed,fraction
0,0.6054087141823091,0.5781522419954485,TCRbert,epi,42,1.0
1,0.5598426396882871,0.5634279111851027,TCRbert,epi,42,1.0
2,0.5455464777560008,0.5574034355783539,TCRbert,epi,42,1.0
3,0.5365105010676066,0.5416940904385136,TCRbert,epi,42,1.0
4,0.5280597573038958,0.5330500297296994,TCRbert,epi,42,1.0
5,0.5208524236683928,0.5387978855710904,TCRbert,epi,42,1.0
6,0.5153174208585116,0.5376742300597593,TCRbert,epi,42,1.0
7,0.5084972845661359,0.5268697889869552,TCRbert,epi,42,1.0
8,0.5041605793195839,0.5138793679640598,TCRbert,epi,42,1.0
9,0.4975389919298235,0.5267643599962091,TCRbert,epi,42,1.0
10,0.49159465996597657,0.5247065551181743,TCRbert,epi,42,1.0
11,0.4858516234307823,0.5192950986457738,TCRbert,epi,42,1.0
12,0.4807133572419545,0.5133047119393089,TCRbert,epi,42,1.0
13,0.47500300235215104,0.5030668536980314,TCRbert,epi,42,1.0
14,0.4689691671784949,0.5302760466444418,TCRbert,epi,42,1.0
15,0.4630909522351103,0.5087429067992938,TCRbert,epi,42,1.0
16,0.4563861409908992,0.5126929291680858,TCRbert,epi,42,1.0
17,0.4512209034558972,0.49861472615187596,TCRbert,epi,42,1.0
18,0.44290568017957826,0.49842288687217634,TCRbert,epi,42,1.0
19,0.4372405825028241,0.4910205938840929,TCRbert,epi,42,1.0
20,0.4294292073883675,0.4970558244939314,TCRbert,epi,42,1.0
21,0.42319260325183694,0.49171764974706483,TCRbert,epi,42,1.0
22,0.41677164555995483,0.4884528190319423,TCRbert,epi,42,1.0
23,0.4081915212971363,0.4757406904837474,TCRbert,epi,42,1.0
24,0.4003043768538592,0.4750636524746678,TCRbert,epi,42,1.0
25,0.3937323734961423,0.4801074485359651,TCRbert,epi,42,1.0
26,0.3865920668246932,0.48329349537567534,TCRbert,epi,42,1.0
27,0.3773962767508139,0.4720416337673549,TCRbert,epi,42,1.0
28,0.3689908986963064,0.4723710838370256,TCRbert,epi,42,1.0
29,0.3619256035447574,0.48106103993032084,TCRbert,epi,42,1.0
30,0.3534024311849797,0.47117707938665737,TCRbert,epi,42,1.0
31,0.34564378917421246,0.47048880251179287,TCRbert,epi,42,1.0
32,0.3379429183974643,0.46630425878659215,TCRbert,epi,42,1.0
33,0.3295240126385124,0.4755483622559857,TCRbert,epi,42,1.0
34,0.3209696160628109,0.46571952910698944,TCRbert,epi,42,1.0
35,0.3134207921952386,0.47233663030101997,TCRbert,epi,42,1.0
36,0.30412172390691206,0.4611137194371561,TCRbert,epi,42,1.0
37,0.2982204342354013,0.45368969098151596,TCRbert,epi,42,1.0
38,0.2882261686995309,0.47944092966039537,TCRbert,epi,42,1.0
39,0.280768158962807,0.4599927997977145,TCRbert,epi,42,1.0
40,0.2738251363233752,0.478529402631071,TCRbert,epi,42,1.0
41,0.2650420420623441,0.46633918402386365,TCRbert,epi,42,1.0
42,0.2586214346559835,0.46141820944668205,TCRbert,epi,42,1.0
43,0.2523338892672528,0.4831611005074798,TCRbert,epi,42,1.0
44,0.24535881577883356,0.48199960430506944,TCRbert,epi,42,1.0
45,0.23917641412550328,0.4816373897233413,TCRbert,epi,42,1.0
46,0.23062653263748448,0.4952831794581616,TCRbert,epi,42,1.0
47,0.22488486583442027,0.4972299276049424,TCRbert,epi,42,1.0
48,0.21703163314122959,0.5131469916577883,TCRbert,epi,42,1.0
49,0.21137342140084386,0.49521475075169763,TCRbert,epi,42,1.0
50,0.2056366344734734,0.49682057029647,TCRbert,epi,42,1.0
51,0.1997798586304258,0.5071217923424269,TCRbert,epi,42,1.0
52,0.19216882609180574,0.5211960617148129,TCRbert,epi,42,1.0
53,0.18867946492850338,0.5324354275531806,TCRbert,epi,42,1.0
54,0.18343623130997297,0.5490214422141797,TCRbert,epi,42,1.0
55,0.1786846159167358,0.5529815544867461,TCRbert,epi,42,1.0
56,0.17378603838433807,0.5368726908746307,TCRbert,epi,42,1.0
57,0.16785156705143106,0.5613437243651624,TCRbert,epi,42,1.0
58,0.16242893699148878,0.5662611230527019,TCRbert,epi,42,1.0
59,0.15808573480944677,0.5886852731363768,TCRbert,epi,42,1.0
60,0.15367165150122572,0.5876626920637422,TCRbert,epi,42,1.0
61,0.15201042319360422,0.5939984608375593,TCRbert,epi,42,1.0
62,0.1456118248692721,0.590531912260847,TCRbert,epi,42,1.0
63,0.14146501084679053,0.5985011197535014,TCRbert,epi,42,1.0
64,0.13982302431339533,0.613413110919814,TCRbert,epi,42,1.0
65,0.13591376517438483,0.6114950163430901,TCRbert,epi,42,1.0
66,0.13335611489944005,0.6382585001707259,TCRbert,epi,42,1.0
67,0.12965839495158565,0.628841964912746,TCRbert,epi,42,1.0
