epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.7245588024457296,0.6898694634437561,catELMo,random,45,1.0,cluster-cluster,0.01
1,0.6398499488830567,0.6872055530548096,catELMo,random,45,1.0,cluster-cluster,0.01
2,0.6066784342130025,0.6839081048965454,catELMo,random,45,1.0,cluster-cluster,0.01
3,0.5675652583440145,0.6793550252914429,catELMo,random,45,1.0,cluster-cluster,0.01
4,0.546584153175354,0.673405110836029,catELMo,random,45,1.0,cluster-cluster,0.01
5,0.5285742282867432,0.6665109395980835,catELMo,random,45,1.0,cluster-cluster,0.01
6,0.5153769413630168,0.6575099229812622,catELMo,random,45,1.0,cluster-cluster,0.01
7,0.49237784345944724,0.6481992602348328,catELMo,random,45,1.0,cluster-cluster,0.01
8,0.481555438041687,0.6371139287948608,catELMo,random,45,1.0,cluster-cluster,0.01
9,0.47222150564193727,0.6288744807243347,catELMo,random,45,1.0,cluster-cluster,0.01
10,0.4523944596449534,0.6210426092147827,catELMo,random,45,1.0,cluster-cluster,0.01
11,0.4500977953275045,0.6102893948554993,catELMo,random,45,1.0,cluster-cluster,0.01
12,0.4371657927831014,0.6032394170761108,catELMo,random,45,1.0,cluster-cluster,0.01
13,0.4321650167306264,0.5994529128074646,catELMo,random,45,1.0,cluster-cluster,0.01
14,0.41433051029841106,0.5923479795455933,catELMo,random,45,1.0,cluster-cluster,0.01
15,0.4080038030942281,0.5873805284500122,catELMo,random,45,1.0,cluster-cluster,0.01
16,0.39355522592862446,0.5859458446502686,catELMo,random,45,1.0,cluster-cluster,0.01
17,0.38265743652979534,0.5787611603736877,catELMo,random,45,1.0,cluster-cluster,0.01
18,0.38278201818466184,0.5719055533409119,catELMo,random,45,1.0,cluster-cluster,0.01
19,0.3723677972952525,0.5834584832191467,catELMo,random,45,1.0,cluster-cluster,0.01
20,0.3651553809642792,0.5904747843742371,catELMo,random,45,1.0,cluster-cluster,0.01
21,0.3646864354610443,0.5774397850036621,catELMo,random,45,1.0,cluster-cluster,0.01
22,0.346304726600647,0.5572867393493652,catELMo,random,45,1.0,cluster-cluster,0.01
23,0.3406266808509827,0.5492652654647827,catELMo,random,45,1.0,cluster-cluster,0.01
24,0.3247327705224355,0.5505083799362183,catELMo,random,45,1.0,cluster-cluster,0.01
25,0.3187070608139038,0.5484849810600281,catELMo,random,45,1.0,cluster-cluster,0.01
26,0.31167439818382264,0.547249436378479,catELMo,random,45,1.0,cluster-cluster,0.01
27,0.3125196894009908,0.5503830909729004,catELMo,random,45,1.0,cluster-cluster,0.01
28,0.3032847781976064,0.5578107237815857,catELMo,random,45,1.0,cluster-cluster,0.01
29,0.2980602900187174,0.5617682933807373,catELMo,random,45,1.0,cluster-cluster,0.01
30,0.2921596626440684,0.5588709115982056,catELMo,random,45,1.0,cluster-cluster,0.01
31,0.2826611081759135,0.556210994720459,catELMo,random,45,1.0,cluster-cluster,0.01
32,0.26882192492485046,0.5646889209747314,catELMo,random,45,1.0,cluster-cluster,0.01
33,0.25968876481056213,0.5719704627990723,catELMo,random,45,1.0,cluster-cluster,0.01
34,0.26425743103027344,0.5807892084121704,catELMo,random,45,1.0,cluster-cluster,0.01
35,0.24538327554861705,0.5872576832771301,catELMo,random,45,1.0,cluster-cluster,0.01
36,0.2360119620958964,0.5923202633857727,catELMo,random,45,1.0,cluster-cluster,0.01
37,0.23716478844483693,0.5905445218086243,catELMo,random,45,1.0,cluster-cluster,0.01
38,0.22294215559959413,0.5925774574279785,catELMo,random,45,1.0,cluster-cluster,0.01
39,0.23148498237133025,0.6153222918510437,catELMo,random,45,1.0,cluster-cluster,0.01
40,0.2162290891011556,0.6194593906402588,catELMo,random,45,1.0,cluster-cluster,0.01
41,0.20599742531776427,0.5996113419532776,catELMo,random,45,1.0,cluster-cluster,0.01
42,0.21682493686676024,0.6020162105560303,catELMo,random,45,1.0,cluster-cluster,0.01
43,0.21010887622833252,0.6185848712921143,catELMo,random,45,1.0,cluster-cluster,0.01
44,0.19819771548112233,0.6358848810195923,catELMo,random,45,1.0,cluster-cluster,0.01
45,0.18877933621406556,0.6486895680427551,catELMo,random,45,1.0,cluster-cluster,0.01
46,0.17731407682100933,0.6381632685661316,catELMo,random,45,1.0,cluster-cluster,0.01
47,0.1785874863465627,0.6325272917747498,catELMo,random,45,1.0,cluster-cluster,0.01
48,0.17373600602149963,0.6272462606430054,catELMo,random,45,1.0,cluster-cluster,0.01
49,0.16104308863480885,0.6356218457221985,catELMo,random,45,1.0,cluster-cluster,0.01
50,0.15951334138711293,0.6749194264411926,catELMo,random,45,1.0,cluster-cluster,0.01
51,0.1667112370332082,0.6744991540908813,catELMo,random,45,1.0,cluster-cluster,0.01
52,0.15240167478720348,0.677558958530426,catELMo,random,45,1.0,cluster-cluster,0.01
53,0.14022098382314047,0.6876184344291687,catELMo,random,45,1.0,cluster-cluster,0.01
54,0.14709235727787018,0.6713922023773193,catELMo,random,45,1.0,cluster-cluster,0.01
55,0.15025236209233603,0.6966009140014648,catELMo,random,45,1.0,cluster-cluster,0.01
56,0.149360857407252,0.717594563961029,catELMo,random,45,1.0,cluster-cluster,0.01
