epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.5737036241613043,0.5332022743754917,catELMo,random,44,1.0,cluster-random,0.3
1,0.5202507215793242,0.5092271486918132,catELMo,random,44,1.0,cluster-random,0.3
2,0.5027547572372362,0.4961833164427015,catELMo,random,44,1.0,cluster-random,0.3
3,0.49324898427636577,0.4920803480678134,catELMo,random,44,1.0,cluster-random,0.3
4,0.483943489594002,0.4850787442260318,catELMo,random,44,1.0,cluster-random,0.3
5,0.47713567798233647,0.4774802133772108,catELMo,random,44,1.0,cluster-random,0.3
6,0.46883009268157533,0.47628846910264755,catELMo,random,44,1.0,cluster-random,0.3
7,0.46186959955002443,0.47302656491597495,catELMo,random,44,1.0,cluster-random,0.3
8,0.45520726347678203,0.4603229729334513,catELMo,random,44,1.0,cluster-random,0.3
9,0.4477349921382947,0.4588511358367072,catELMo,random,44,1.0,cluster-random,0.3
10,0.44204622403258276,0.4535635428958469,catELMo,random,44,1.0,cluster-random,0.3
11,0.4336316004436099,0.44704090661472745,catELMo,random,44,1.0,cluster-random,0.3
12,0.4279873646238149,0.43930048717392817,catELMo,random,44,1.0,cluster-random,0.3
13,0.4230985801260254,0.45142032702763873,catELMo,random,44,1.0,cluster-random,0.3
14,0.41730087069118427,0.4443791439798143,catELMo,random,44,1.0,cluster-random,0.3
15,0.410702948069702,0.43652130749490525,catELMo,random,44,1.0,cluster-random,0.3
16,0.4065745549396664,0.42673378692732916,catELMo,random,44,1.0,cluster-random,0.3
17,0.4013941123391693,0.4255323904090457,catELMo,random,44,1.0,cluster-random,0.3
18,0.3978230628853794,0.4393145227432251,catELMo,random,44,1.0,cluster-random,0.3
19,0.396650922588575,0.42565566884146794,catELMo,random,44,1.0,cluster-random,0.3
20,0.3906129583261879,0.41607502632670934,catELMo,random,44,1.0,cluster-random,0.3
21,0.384967570062491,0.4203670144081116,catELMo,random,44,1.0,cluster-random,0.3
22,0.3819561739512215,0.42383150895436605,catELMo,random,44,1.0,cluster-random,0.3
23,0.38077489501591444,0.422559783856074,catELMo,random,44,1.0,cluster-random,0.3
24,0.3753776546676521,0.41064179248279997,catELMo,random,44,1.0,cluster-random,0.3
25,0.37057904738863584,0.4102100808090634,catELMo,random,44,1.0,cluster-random,0.3
26,0.370489660364707,0.40752152416441173,catELMo,random,44,1.0,cluster-random,0.3
27,0.36592839263322535,0.41307674249013265,catELMo,random,44,1.0,cluster-random,0.3
28,0.36479074077198675,0.4142887421449025,catELMo,random,44,1.0,cluster-random,0.3
29,0.3577202508270046,0.40454605393939547,catELMo,random,44,1.0,cluster-random,0.3
30,0.3586930034614993,0.4212787123521169,catELMo,random,44,1.0,cluster-random,0.3
31,0.3543235345671989,0.40425759500927394,catELMo,random,44,1.0,cluster-random,0.3
32,0.35362101373429444,0.4098109398947822,catELMo,random,44,1.0,cluster-random,0.3
33,0.3483697688335565,0.40109112819035847,catELMo,random,44,1.0,cluster-random,0.3
34,0.34579701651900296,0.401161603530248,catELMo,random,44,1.0,cluster-random,0.3
35,0.34315132135575305,0.4042714087168376,catELMo,random,44,1.0,cluster-random,0.3
