epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.6742411812146505,0.6833101590474446,catELMo,random,45,1.0,cluster-cluster,0.03
1,0.5865494463178846,0.6661285546090868,catELMo,random,45,1.0,cluster-cluster,0.03
2,0.5517598085933262,0.6410796920458476,catELMo,random,45,1.0,cluster-cluster,0.03
3,0.5258110192086961,0.6269978642463684,catELMo,random,45,1.0,cluster-cluster,0.03
4,0.5088529785474142,0.6027304371198018,catELMo,random,45,1.0,cluster-cluster,0.03
5,0.4921783665815989,0.5826173451211717,catELMo,random,45,1.0,cluster-cluster,0.03
6,0.48238825665579904,0.5564336988661024,catELMo,random,45,1.0,cluster-cluster,0.03
7,0.4734497037198808,0.5569481558269924,catELMo,random,45,1.0,cluster-cluster,0.03
8,0.4649954915046692,0.5301469352510241,catELMo,random,45,1.0,cluster-cluster,0.03
9,0.4588748766316308,0.5400282409456041,catELMo,random,45,1.0,cluster-cluster,0.03
10,0.4500110367933909,0.5282469471295674,catELMo,random,45,1.0,cluster-cluster,0.03
11,0.44232595165570576,0.5285944660504659,catELMo,random,45,1.0,cluster-cluster,0.03
12,0.4346362875567542,0.5322301255332099,catELMo,random,45,1.0,cluster-cluster,0.03
13,0.4255831718444824,0.5202438791592916,catELMo,random,45,1.0,cluster-cluster,0.03
14,0.4176463252968258,0.529622032907274,catELMo,random,45,1.0,cluster-cluster,0.03
15,0.4161720640129513,0.5175303114785088,catELMo,random,45,1.0,cluster-cluster,0.03
16,0.4072328680091434,0.529147986570994,catELMo,random,45,1.0,cluster-cluster,0.03
17,0.39803047312630546,0.5264277338981629,catELMo,random,45,1.0,cluster-cluster,0.03
18,0.39860542284117806,0.5366868641641405,catELMo,random,45,1.0,cluster-cluster,0.03
19,0.38915903435813054,0.52361970477634,catELMo,random,45,1.0,cluster-cluster,0.03
20,0.37985008557637534,0.5271768569946289,catELMo,random,45,1.0,cluster-cluster,0.03
21,0.37399645646413165,0.5299089365535312,catELMo,random,45,1.0,cluster-cluster,0.03
22,0.36758090058962506,0.533240901099311,catELMo,random,45,1.0,cluster-cluster,0.03
23,0.3612712323665619,0.5377567807833353,catELMo,random,45,1.0,cluster-cluster,0.03
24,0.35458004275957744,0.5339876731236776,catELMo,random,45,1.0,cluster-cluster,0.03
25,0.34987411432796056,0.5347637216250102,catELMo,random,45,1.0,cluster-cluster,0.03
26,0.34984838763872783,0.5384736590915256,catELMo,random,45,1.0,cluster-cluster,0.03
27,0.33372203442785475,0.5301301797231038,catELMo,random,45,1.0,cluster-cluster,0.03
28,0.3340359118249681,0.5363867150412666,catELMo,random,45,1.0,cluster-cluster,0.03
29,0.32277009156015185,0.5474959201282925,catELMo,random,45,1.0,cluster-cluster,0.03
30,0.32318525777922735,0.575204869111379,catELMo,random,45,1.0,cluster-cluster,0.03
31,0.32309763895140753,0.5516948805914985,catELMo,random,45,1.0,cluster-cluster,0.03
32,0.31568425761328806,0.5642235729429457,catELMo,random,45,1.0,cluster-cluster,0.03
33,0.3043590075439877,0.5663051313824123,catELMo,random,45,1.0,cluster-cluster,0.03
34,0.3009517192840576,0.567517618338267,catELMo,random,45,1.0,cluster-cluster,0.03
35,0.2920740412341224,0.5650732795397441,catELMo,random,45,1.0,cluster-cluster,0.03
36,0.29636224971877206,0.5725776659117805,catELMo,random,45,1.0,cluster-cluster,0.03
37,0.28470226460032994,0.563463318347931,catELMo,random,45,1.0,cluster-cluster,0.03
38,0.2857174144850837,0.5709553294711642,catELMo,random,45,1.0,cluster-cluster,0.03
39,0.2751616232924991,0.5706664641698201,catELMo,random,45,1.0,cluster-cluster,0.03
40,0.272125768661499,0.574669955836402,catELMo,random,45,1.0,cluster-cluster,0.03
41,0.26885752346780567,0.604301721519894,catELMo,random,45,1.0,cluster-cluster,0.03
42,0.25810453957981533,0.5786059048440721,catELMo,random,45,1.0,cluster-cluster,0.03
43,0.25761299199528165,0.5858888877762689,catELMo,random,45,1.0,cluster-cluster,0.03
44,0.2588035934501224,0.5950398868984647,catELMo,random,45,1.0,cluster-cluster,0.03
45,0.24643554819954766,0.6053841630617778,catELMo,random,45,1.0,cluster-cluster,0.03
