epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.5555030772605157,0.514725101654204,catELMo,random,43,1.0,cluster-cluster,1
1,0.5147424445647152,0.48908528509619215,catELMo,random,43,1.0,cluster-cluster,1
2,0.49097681123992476,0.4628316291615017,catELMo,random,43,1.0,cluster-cluster,1
3,0.4699925632918332,0.4450395345764852,catELMo,random,43,1.0,cluster-cluster,1
4,0.45492007424802344,0.4338370289739373,catELMo,random,43,1.0,cluster-cluster,1
5,0.4430449566066848,0.4232795025777243,catELMo,random,43,1.0,cluster-cluster,1
6,0.43314987241314457,0.41001215974845806,catELMo,random,43,1.0,cluster-cluster,1
7,0.42476273411256243,0.40730687641614693,catELMo,random,43,1.0,cluster-cluster,1
8,0.4158328664419608,0.3994649239373373,catELMo,random,43,1.0,cluster-cluster,1
9,0.40895249603821027,0.39399585185073416,catELMo,random,43,1.0,cluster-cluster,1
10,0.4047099180141132,0.39663501401915313,catELMo,random,43,1.0,cluster-cluster,1
11,0.3984271327469507,0.3879152209039758,catELMo,random,43,1.0,cluster-cluster,1
12,0.394263857446432,0.3814105716060983,catELMo,random,43,1.0,cluster-cluster,1
13,0.38911612669696405,0.37750075468743455,catELMo,random,43,1.0,cluster-cluster,1
14,0.3865814198082203,0.3744971928129712,catELMo,random,43,1.0,cluster-cluster,1
15,0.38242965535714146,0.37032442016207395,catELMo,random,43,1.0,cluster-cluster,1
16,0.37705333763792437,0.3716563005583181,catELMo,random,43,1.0,cluster-cluster,1
17,0.37377477695187106,0.36430866821677155,catELMo,random,43,1.0,cluster-cluster,1
18,0.3707523562517731,0.37078570210855705,catELMo,random,43,1.0,cluster-cluster,1
19,0.3685250210841431,0.36338336331974164,catELMo,random,43,1.0,cluster-cluster,1
20,0.3660658037628235,0.35789415644092426,catELMo,random,43,1.0,cluster-cluster,1
21,0.3639638430449495,0.35891424196520716,catELMo,random,43,1.0,cluster-cluster,1
22,0.359713162156978,0.36042425138002376,catELMo,random,43,1.0,cluster-cluster,1
23,0.36015186082787276,0.35656015238987,catELMo,random,43,1.0,cluster-cluster,1
24,0.3563799251153955,0.371212889481761,catELMo,random,43,1.0,cluster-cluster,1
25,0.35346110426195454,0.35303477840564446,catELMo,random,43,1.0,cluster-cluster,1
26,0.35143228220869105,0.3464598280244318,catELMo,random,43,1.0,cluster-cluster,1
27,0.3501187215303844,0.34654369262510387,catELMo,random,43,1.0,cluster-cluster,1
28,0.3470718336780276,0.356316538895077,catELMo,random,43,1.0,cluster-cluster,1
29,0.3458211100510799,0.3484094838036442,catELMo,random,43,1.0,cluster-cluster,1
30,0.3447301025328453,0.34424225822780874,catELMo,random,43,1.0,cluster-cluster,1
31,0.34248296254849964,0.3445079012265489,catELMo,random,43,1.0,cluster-cluster,1
32,0.3401722192360107,0.3468344786826146,catELMo,random,43,1.0,cluster-cluster,1
33,0.3370989957686239,0.3429709723291683,catELMo,random,43,1.0,cluster-cluster,1
34,0.3363962991009949,0.34457383616969645,catELMo,random,43,1.0,cluster-cluster,1
35,0.33514341198444225,0.33935976278150604,catELMo,random,43,1.0,cluster-cluster,1
36,0.3324542744775746,0.338259903711655,catELMo,random,43,1.0,cluster-cluster,1
37,0.3317695508284965,0.33649229575587253,catELMo,random,43,1.0,cluster-cluster,1
38,0.32995422514039163,0.3370020817028553,catELMo,random,43,1.0,cluster-cluster,1
39,0.3293712000080383,0.346197568668951,catELMo,random,43,1.0,cluster-cluster,1
40,0.3270197717343706,0.33702611851198494,catELMo,random,43,1.0,cluster-cluster,1
41,0.3259915126761729,0.33464693878597085,catELMo,random,43,1.0,cluster-cluster,1
42,0.32387506199322375,0.3304904367341523,catELMo,random,43,1.0,cluster-cluster,1
43,0.32243218953801844,0.33763812232586715,catELMo,random,43,1.0,cluster-cluster,1
44,0.3209081705741134,0.33131882299741533,catELMo,random,43,1.0,cluster-cluster,1
45,0.3192490522230471,0.33319533491357156,catELMo,random,43,1.0,cluster-cluster,1
46,0.3187728551117373,0.34802420295222064,catELMo,random,43,1.0,cluster-cluster,1
47,0.3183054757039128,0.32503958152913087,catELMo,random,43,1.0,cluster-cluster,1
48,0.3149294927636708,0.33051495199714875,catELMo,random,43,1.0,cluster-cluster,1
49,0.31376102509755827,0.3377311420867326,catELMo,random,43,1.0,cluster-cluster,1
50,0.3130865539134867,0.32842717089606727,catELMo,random,43,1.0,cluster-cluster,1
51,0.31089354765017285,0.3203389725495485,catELMo,random,43,1.0,cluster-cluster,1
52,0.31055954903574806,0.3332575868851969,catELMo,random,43,1.0,cluster-cluster,1
53,0.3104964765233966,0.3233319203692979,catELMo,random,43,1.0,cluster-cluster,1
54,0.30783191414747446,0.3231712437563601,catELMo,random,43,1.0,cluster-cluster,1
55,0.3064117792591918,0.3240977377947368,catELMo,random,43,1.0,cluster-cluster,1
56,0.3053358466475998,0.3191329154499987,catELMo,random,43,1.0,cluster-cluster,1
57,0.3046890827122512,0.31827652390303895,catELMo,random,43,1.0,cluster-cluster,1
58,0.3034531233570328,0.3224509196126765,catELMo,random,43,1.0,cluster-cluster,1
59,0.3026767729389233,0.32245205365182517,catELMo,random,43,1.0,cluster-cluster,1
60,0.3017552373504994,0.32419224176614075,catELMo,random,43,1.0,cluster-cluster,1
61,0.29995095689503504,0.3174599609813672,catELMo,random,43,1.0,cluster-cluster,1
62,0.30009957468665693,0.31753908931491304,catELMo,random,43,1.0,cluster-cluster,1
63,0.2986537876582572,0.3167109666881519,catELMo,random,43,1.0,cluster-cluster,1
64,0.296232039111773,0.3154458605725588,catELMo,random,43,1.0,cluster-cluster,1
65,0.2960408018727164,0.31395879320306413,catELMo,random,43,1.0,cluster-cluster,1
66,0.29486148940986606,0.3159527181349746,catELMo,random,43,1.0,cluster-cluster,1
67,0.29277248121304267,0.3153783235655323,catELMo,random,43,1.0,cluster-cluster,1
68,0.292999877544554,0.3176533795598596,catELMo,random,43,1.0,cluster-cluster,1
69,0.29302410918599703,0.31509201531906705,catELMo,random,43,1.0,cluster-cluster,1
70,0.29113298071622234,0.3121859536005166,catELMo,random,43,1.0,cluster-cluster,1
71,0.28902377301441473,0.31314707999254066,catELMo,random,43,1.0,cluster-cluster,1
72,0.2890107018822661,0.3159372071058401,catELMo,random,43,1.0,cluster-cluster,1
73,0.28863496275167383,0.32465575148247616,catELMo,random,43,1.0,cluster-cluster,1
74,0.2882126957748214,0.3088670260836386,catELMo,random,43,1.0,cluster-cluster,1
75,0.28641957137651725,0.31285918079924124,catELMo,random,43,1.0,cluster-cluster,1
76,0.2858325150860136,0.3187513722016868,catELMo,random,43,1.0,cluster-cluster,1
77,0.2837616294990742,0.3108384175591854,catELMo,random,43,1.0,cluster-cluster,1
78,0.283464159319996,0.3108192101443173,catELMo,random,43,1.0,cluster-cluster,1
79,0.2828401221766729,0.3120816254284495,catELMo,random,43,1.0,cluster-cluster,1
80,0.2826340175189861,0.3101148231603877,catELMo,random,43,1.0,cluster-cluster,1
81,0.28059588162106397,0.3089165294137102,catELMo,random,43,1.0,cluster-cluster,1
82,0.28042603862254634,0.30790009883054964,catELMo,random,43,1.0,cluster-cluster,1
83,0.2796868549392872,0.3099828242118207,catELMo,random,43,1.0,cluster-cluster,1
84,0.2790127764747605,0.30814780347481663,catELMo,random,43,1.0,cluster-cluster,1
85,0.2770280395866298,0.30630475077662467,catELMo,random,43,1.0,cluster-cluster,1
86,0.2761629071997145,0.30584851672841007,catELMo,random,43,1.0,cluster-cluster,1
87,0.27570088709479273,0.3034320701649227,catELMo,random,43,1.0,cluster-cluster,1
88,0.27502504959936475,0.3078037254634308,catELMo,random,43,1.0,cluster-cluster,1
89,0.27600169160194776,0.30364182071409435,catELMo,random,43,1.0,cluster-cluster,1
90,0.274929464839974,0.3069066290661502,catELMo,random,43,1.0,cluster-cluster,1
91,0.2728864972453658,0.3077158430860289,catELMo,random,43,1.0,cluster-cluster,1
92,0.27184142062686245,0.3102608149207923,catELMo,random,43,1.0,cluster-cluster,1
93,0.2717224394708464,0.3038104486303535,catELMo,random,43,1.0,cluster-cluster,1
94,0.2709237032247407,0.307125602365608,catELMo,random,43,1.0,cluster-cluster,1
95,0.2697594726733026,0.3074912829879105,catELMo,random,43,1.0,cluster-cluster,1
96,0.26938740512692944,0.30409221777364237,catELMo,random,43,1.0,cluster-cluster,1
97,0.27058357294557484,0.3018833943098457,catELMo,random,43,1.0,cluster-cluster,1
98,0.26755487850870396,0.30656007227289306,catELMo,random,43,1.0,cluster-cluster,1
99,0.26783917692691056,0.30578270190721013,catELMo,random,43,1.0,cluster-cluster,1
100,0.26747311830333753,0.30065687781850237,catELMo,random,43,1.0,cluster-cluster,1
101,0.26531912242061395,0.3160121213641794,catELMo,random,43,1.0,cluster-cluster,1
102,0.2649462534427638,0.30110165305318626,catELMo,random,43,1.0,cluster-cluster,1
103,0.2650838518320078,0.312065133904026,catELMo,random,43,1.0,cluster-cluster,1
104,0.26457683819420114,0.3013573546796226,catELMo,random,43,1.0,cluster-cluster,1
105,0.2626729554075462,0.29996438625256105,catELMo,random,43,1.0,cluster-cluster,1
106,0.261856804007212,0.3004322337632894,catELMo,random,43,1.0,cluster-cluster,1
107,0.26192485488678147,0.30366188827010376,catELMo,random,43,1.0,cluster-cluster,1
108,0.2606806185818573,0.3038897009401201,catELMo,random,43,1.0,cluster-cluster,1
109,0.2612522569198151,0.30796637703247814,catELMo,random,43,1.0,cluster-cluster,1
110,0.26111557862995416,0.30262583586942265,catELMo,random,43,1.0,cluster-cluster,1
111,0.26079672737249016,0.3011772003411144,catELMo,random,43,1.0,cluster-cluster,1
112,0.2579029471981123,0.30164937831392824,catELMo,random,43,1.0,cluster-cluster,1
113,0.2568552115789185,0.30266910611100556,catELMo,random,43,1.0,cluster-cluster,1
114,0.2577177314300633,0.30294945414009394,catELMo,random,43,1.0,cluster-cluster,1
115,0.2568822941608971,0.2986987522008901,catELMo,random,43,1.0,cluster-cluster,1
116,0.2564725025166897,0.2987200040804049,catELMo,random,43,1.0,cluster-cluster,1
117,0.2550321140347431,0.29902027628629496,catELMo,random,43,1.0,cluster-cluster,1
118,0.255479591948235,0.30587310590926203,catELMo,random,43,1.0,cluster-cluster,1
119,0.2540842894622098,0.30296794636379376,catELMo,random,43,1.0,cluster-cluster,1
120,0.2545860570320162,0.29791603426347996,catELMo,random,43,1.0,cluster-cluster,1
121,0.25326187034139735,0.3004588057068923,catELMo,random,43,1.0,cluster-cluster,1
122,0.2526243612498418,0.3042947996691323,catELMo,random,43,1.0,cluster-cluster,1
123,0.25238216085328574,0.3149266959237514,catELMo,random,43,1.0,cluster-cluster,1
124,0.2524659096696748,0.29979144143494985,catELMo,random,43,1.0,cluster-cluster,1
125,0.2512492134485969,0.2989008357875432,catELMo,random,43,1.0,cluster-cluster,1
126,0.25084801716084165,0.30063254977334497,catELMo,random,43,1.0,cluster-cluster,1
127,0.2501475466883108,0.31415314500239794,catELMo,random,43,1.0,cluster-cluster,1
128,0.24966017645570668,0.29607830053791145,catELMo,random,43,1.0,cluster-cluster,1
129,0.25069617390423404,0.2990741909474096,catELMo,random,43,1.0,cluster-cluster,1
130,0.2499419364149396,0.29611658967538135,catELMo,random,43,1.0,cluster-cluster,1
131,0.24776973098061533,0.298050174856776,catELMo,random,43,1.0,cluster-cluster,1
132,0.24877103701139106,0.30982082219706153,catELMo,random,43,1.0,cluster-cluster,1
133,0.2463042421807364,0.30031663310274,catELMo,random,43,1.0,cluster-cluster,1
134,0.24711029294557088,0.3013189115177507,catELMo,random,43,1.0,cluster-cluster,1
135,0.24657694248851303,0.29707678553983674,catELMo,random,43,1.0,cluster-cluster,1
136,0.24655884723168783,0.2957166134379843,catELMo,random,43,1.0,cluster-cluster,1
137,0.24483328343340463,0.2961923307957468,catELMo,random,43,1.0,cluster-cluster,1
138,0.24384066162086204,0.3002504975796938,catELMo,random,43,1.0,cluster-cluster,1
139,0.24494394671955205,0.2999738069018902,catELMo,random,43,1.0,cluster-cluster,1
140,0.24375476399671303,0.2982893194833312,catELMo,random,43,1.0,cluster-cluster,1
141,0.24439463708672649,0.29673850597562823,catELMo,random,43,1.0,cluster-cluster,1
142,0.24325250884084954,0.2978500216624413,catELMo,random,43,1.0,cluster-cluster,1
143,0.24201213438849917,0.2997552979032694,catELMo,random,43,1.0,cluster-cluster,1
144,0.24255651388589572,0.3062435868958484,catELMo,random,43,1.0,cluster-cluster,1
145,0.2399653478775438,0.2922432256943931,catELMo,random,43,1.0,cluster-cluster,1
146,0.24111303406237442,0.29452785929661635,catELMo,random,43,1.0,cluster-cluster,1
147,0.238211264988992,0.3003816995902447,catELMo,random,43,1.0,cluster-cluster,1
148,0.2402197114801554,0.2967913169040515,catELMo,random,43,1.0,cluster-cluster,1
149,0.240354829699251,0.29774384249806835,catELMo,random,43,1.0,cluster-cluster,1
150,0.23847115755590897,0.297757625002438,catELMo,random,43,1.0,cluster-cluster,1
