epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.6257950022011882,0.6498090354601542,catELMo,random,43,1.0,random,0.1
1,0.5667411926810763,0.5849052818616232,catELMo,random,43,1.0,random,0.1
2,0.5452986254269155,0.5484390632311503,catELMo,random,43,1.0,random,0.1
3,0.5321786781535981,0.5466642173131308,catELMo,random,43,1.0,random,0.1
4,0.5230867070808031,0.5365521756807963,catELMo,random,43,1.0,random,0.1
5,0.5144296190954858,0.5347395837306976,catELMo,random,43,1.0,random,0.1
6,0.5069375953123747,0.5316604499022166,catELMo,random,43,1.0,random,0.1
7,0.5009906945809195,0.5299102660020193,catELMo,random,43,1.0,random,0.1
8,0.49462702080648546,0.5255104279518128,catELMo,random,43,1.0,random,0.1
9,0.48729855562832125,0.5250948921839396,catELMo,random,43,1.0,random,0.1
10,0.4842210389674874,0.5229460032780965,catELMo,random,43,1.0,random,0.1
11,0.4771606716167355,0.5244836270809173,catELMo,random,43,1.0,random,0.1
12,0.4714258828437438,0.5190492538611094,catELMo,random,43,1.0,random,0.1
13,0.4682369679018555,0.5196296846866608,catELMo,random,43,1.0,random,0.1
14,0.4616319866275037,0.5223604989051819,catELMo,random,43,1.0,random,0.1
15,0.4538578954418341,0.5112594612439474,catELMo,random,43,1.0,random,0.1
16,0.4525852566628113,0.5152596422036488,catELMo,random,43,1.0,random,0.1
17,0.44831293967544866,0.5150941431522369,catELMo,random,43,1.0,random,0.1
18,0.4425368694708153,0.5381826321283977,catELMo,random,43,1.0,random,0.1
19,0.4401341516998533,0.5195222361882528,catELMo,random,43,1.0,random,0.1
20,0.4338313514854404,0.5171161031723023,catELMo,random,43,1.0,random,0.1
21,0.4274923954166588,0.5201592667897542,catELMo,random,43,1.0,random,0.1
22,0.42447330260716354,0.5101195748647054,catELMo,random,43,1.0,random,0.1
23,0.41521518383850115,0.5197884647051493,catELMo,random,43,1.0,random,0.1
24,0.4189036862625814,0.5176989142100016,catELMo,random,43,1.0,random,0.1
25,0.4068098067864795,0.5143957042694092,catELMo,random,43,1.0,random,0.1
26,0.4031517636086207,0.5171636871496836,catELMo,random,43,1.0,random,0.1
27,0.4017002944738056,0.5245392179489136,catELMo,random,43,1.0,random,0.1
28,0.39444673381263495,0.5197680258750915,catELMo,random,43,1.0,random,0.1
29,0.38640359419688886,0.5142063800493876,catELMo,random,43,1.0,random,0.1
30,0.38713926165360074,0.5245525844891866,catELMo,random,43,1.0,random,0.1
31,0.3830605315982684,0.5148086778322856,catELMo,random,43,1.0,random,0.1
32,0.37685783977968224,0.5129869878292084,catELMo,random,43,1.0,random,0.1
33,0.37214040589993164,0.5226304447650909,catELMo,random,43,1.0,random,0.1
34,0.36609933632071157,0.5230222980181376,catELMo,random,43,1.0,random,0.1
35,0.36332194262119355,0.5107711680730184,catELMo,random,43,1.0,random,0.1
36,0.3566723144614419,0.5231785587469737,catELMo,random,43,1.0,random,0.1
37,0.3557119319807843,0.522804946899414,catELMo,random,43,1.0,random,0.1
38,0.35219916994668166,0.5176425329844156,catELMo,random,43,1.0,random,0.1
39,0.3454911637946309,0.5249153331915537,catELMo,random,43,1.0,random,0.1
40,0.340884982957535,0.5191877019405365,catELMo,random,43,1.0,random,0.1
41,0.3412437503595264,0.5200255878766378,catELMo,random,43,1.0,random,0.1
42,0.33430299651938783,0.5230018639564514,catELMo,random,43,1.0,random,0.1
43,0.3397487040100219,0.537281045516332,catELMo,random,43,1.0,random,0.1
44,0.3311855801287607,0.5226941899458567,catELMo,random,43,1.0,random,0.1
45,0.3239887972050896,0.521576474905014,catELMo,random,43,1.0,random,0.1
46,0.3182076544980445,0.5211335372924805,catELMo,random,43,1.0,random,0.1
47,0.31743338588941633,0.5359629078706105,catELMo,random,43,1.0,random,0.1
48,0.3151602979411272,0.531974591811498,catELMo,random,43,1.0,random,0.1
49,0.3126967280760115,0.5233252215385437,catELMo,random,43,1.0,random,0.1
50,0.31086445722838973,0.5372380355993907,catELMo,random,43,1.0,random,0.1
51,0.31184978354977394,0.5327571109930674,catELMo,random,43,1.0,random,0.1
52,0.30158828697529416,0.5368106146653493,catELMo,random,43,1.0,random,0.1
