epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.6199155697555109,0.6408030652999878,catELMo,random,46,1.0,cluster-random,0.1
1,0.5594986776133191,0.5672891481717428,catELMo,random,46,1.0,cluster-random,0.1
2,0.5353248283180878,0.5393641010920207,catELMo,random,46,1.0,cluster-random,0.1
3,0.519901566083627,0.5357125973701478,catELMo,random,46,1.0,cluster-random,0.1
4,0.5106202263266126,0.5349633439381918,catELMo,random,46,1.0,cluster-random,0.1
5,0.5052368049074987,0.5187144533793131,catELMo,random,46,1.0,cluster-random,0.1
6,0.49818507495457154,0.5205587879816691,catELMo,random,46,1.0,cluster-random,0.1
7,0.4870904085723182,0.5105855051676432,catELMo,random,46,1.0,cluster-random,0.1
8,0.48293670547374196,0.5102929162979126,catELMo,random,46,1.0,cluster-random,0.1
9,0.4777194148214849,0.5088737750053406,catELMo,random,46,1.0,cluster-random,0.1
10,0.471920226003458,0.5069318644205729,catELMo,random,46,1.0,cluster-random,0.1
11,0.47022725059293125,0.5086591339111328,catELMo,random,46,1.0,cluster-random,0.1
12,0.4606799101461365,0.5065284911791483,catELMo,random,46,1.0,cluster-random,0.1
13,0.4531283093988197,0.5144824210802714,catELMo,random,46,1.0,cluster-random,0.1
14,0.4525431502232309,0.5051167368888855,catELMo,random,46,1.0,cluster-random,0.1
15,0.44608798706744474,0.5053974278767903,catELMo,random,46,1.0,cluster-random,0.1
16,0.4420966314813767,0.5018854653835296,catELMo,random,46,1.0,cluster-random,0.1
17,0.43375693620707145,0.5050950769583384,catELMo,random,46,1.0,cluster-random,0.1
18,0.43243673592487675,0.5058899203936259,catELMo,random,46,1.0,cluster-random,0.1
19,0.4255168739100756,0.508012998898824,catELMo,random,46,1.0,cluster-random,0.1
20,0.42369244581653104,0.5004510629177094,catELMo,random,46,1.0,cluster-random,0.1
21,0.4165039268327091,0.5041541314125061,catELMo,random,46,1.0,cluster-random,0.1
22,0.41450469067870166,0.5034597416718801,catELMo,random,46,1.0,cluster-random,0.1
23,0.4120823971387415,0.5054072523117066,catELMo,random,46,1.0,cluster-random,0.1
24,0.404853645407727,0.4960459792613983,catELMo,random,46,1.0,cluster-random,0.1
25,0.3974952485485503,0.5019118599096934,catELMo,random,46,1.0,cluster-random,0.1
26,0.3949383694901081,0.5077363355954488,catELMo,random,46,1.0,cluster-random,0.1
27,0.39059165807405083,0.5109930888811747,catELMo,random,46,1.0,cluster-random,0.1
28,0.3877964238391979,0.5093262322743733,catELMo,random,46,1.0,cluster-random,0.1
29,0.37865415787294526,0.5047267158826192,catELMo,random,46,1.0,cluster-random,0.1
30,0.3736360111302879,0.5022217194239299,catELMo,random,46,1.0,cluster-random,0.1
31,0.372149905243129,0.5089616243044536,catELMo,random,46,1.0,cluster-random,0.1
32,0.3649767129103111,0.5017711206277211,catELMo,random,46,1.0,cluster-random,0.1
33,0.3618393573240839,0.51200008948644,catELMo,random,46,1.0,cluster-random,0.1
34,0.35923580871814925,0.515882495244344,catELMo,random,46,1.0,cluster-random,0.1
35,0.35337584602833416,0.504756687482198,catELMo,random,46,1.0,cluster-random,0.1
36,0.3467898486408801,0.5065102656682332,catELMo,random,46,1.0,cluster-random,0.1
37,0.347648446211982,0.5026182941595714,catELMo,random,46,1.0,cluster-random,0.1
38,0.3438676279613447,0.5027755693594614,catELMo,random,46,1.0,cluster-random,0.1
39,0.3373349957786235,0.5362820482254028,catELMo,random,46,1.0,cluster-random,0.1
40,0.33426262176066013,0.5173113497098287,catELMo,random,46,1.0,cluster-random,0.1
41,0.33620278442050633,0.5206159416834514,catELMo,random,46,1.0,cluster-random,0.1
42,0.3281683784000924,0.5138461558024089,catELMo,random,46,1.0,cluster-random,0.1
43,0.3230435724438718,0.5200264525413513,catELMo,random,46,1.0,cluster-random,0.1
44,0.3196118759938835,0.5119930609067281,catELMo,random,46,1.0,cluster-random,0.1
45,0.31194343703202015,0.510023627281189,catELMo,random,46,1.0,cluster-random,0.1
46,0.3053780035946892,0.5187859853108724,catELMo,random,46,1.0,cluster-random,0.1
47,0.30830118393508116,0.5233776760101319,catELMo,random,46,1.0,cluster-random,0.1
48,0.3077113321967239,0.5216994253794353,catELMo,random,46,1.0,cluster-random,0.1
49,0.3030807300785123,0.5158609422047933,catELMo,random,46,1.0,cluster-random,0.1
50,0.2954641366140289,0.5215159956614176,catELMo,random,46,1.0,cluster-random,0.1
51,0.29026315949632564,0.5269066429138184,catELMo,random,46,1.0,cluster-random,0.1
52,0.2935399805004476,0.5340233818689982,catELMo,random,46,1.0,cluster-random,0.1
53,0.2843773607943593,0.5265688411394756,catELMo,random,46,1.0,cluster-random,0.1
54,0.2903653392862649,0.5302512184778849,catELMo,random,46,1.0,cluster-random,0.1
