epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.6689114994472928,0.6798557957013448,catELMo,random,46,1.0,cluster-random,0.03
1,0.5933872858683268,0.6635074032677545,catELMo,random,46,1.0,cluster-random,0.03
2,0.5671382082833184,0.6352288259400262,catELMo,random,46,1.0,cluster-random,0.03
3,0.5451781709988912,0.6047677238782246,catELMo,random,46,1.0,cluster-random,0.03
4,0.5277893675698174,0.584914071030087,catELMo,random,46,1.0,cluster-random,0.03
5,0.5156150857607523,0.5581065548790826,catELMo,random,46,1.0,cluster-random,0.03
6,0.5097122510274251,0.5368063065740797,catELMo,random,46,1.0,cluster-random,0.03
7,0.49178435537550186,0.5345245043436686,catELMo,random,46,1.0,cluster-random,0.03
8,0.48828060428301495,0.5258399632241991,catELMo,random,46,1.0,cluster-random,0.03
9,0.4766992059018877,0.5277682118945651,catELMo,random,46,1.0,cluster-random,0.03
10,0.474527864323722,0.517290472984314,catELMo,random,46,1.0,cluster-random,0.03
11,0.462852754857805,0.5232383926709493,catELMo,random,46,1.0,cluster-random,0.03
12,0.45882819957203336,0.5229661968019274,catELMo,random,46,1.0,cluster-random,0.03
13,0.45409618086285064,0.5313852018780179,catELMo,random,46,1.0,cluster-random,0.03
14,0.44284170534875655,0.5201129807366265,catELMo,random,46,1.0,cluster-random,0.03
15,0.43618576327959696,0.5578467607498169,catELMo,random,46,1.0,cluster-random,0.03
16,0.43189410037464565,0.5204490489429898,catELMo,random,46,1.0,cluster-random,0.03
17,0.4281049622429742,0.5223293569352891,catELMo,random,46,1.0,cluster-random,0.03
18,0.4241954757107629,0.52622299724155,catELMo,random,46,1.0,cluster-random,0.03
19,0.4131334039900038,0.5252552151679992,catELMo,random,46,1.0,cluster-random,0.03
20,0.39940361115667555,0.5208231104744805,catELMo,random,46,1.0,cluster-random,0.03
21,0.40579326616393196,0.5282309095064799,catELMo,random,46,1.0,cluster-random,0.03
22,0.3904976016945309,0.5244673172632853,catELMo,random,46,1.0,cluster-random,0.03
23,0.3924286597304874,0.5301365309291416,catELMo,random,46,1.0,cluster-random,0.03
24,0.38134774963061013,0.5432898759841919,catELMo,random,46,1.0,cluster-random,0.03
25,0.38459732002682157,0.5423013038105435,catELMo,random,46,1.0,cluster-random,0.03
26,0.3782626463307275,0.5559545305040148,catELMo,random,46,1.0,cluster-random,0.03
27,0.3670920431613922,0.5318197872903612,catELMo,random,46,1.0,cluster-random,0.03
28,0.3579396261109246,0.5367264058854845,catELMo,random,46,1.0,cluster-random,0.03
29,0.3490828096866608,0.5478491359286838,catELMo,random,46,1.0,cluster-random,0.03
30,0.34507266614172194,0.5483583211898804,catELMo,random,46,1.0,cluster-random,0.03
31,0.34328797856966653,0.5473383479648166,catELMo,random,46,1.0,cluster-random,0.03
32,0.3307027604844835,0.5417125264803568,catELMo,random,46,1.0,cluster-random,0.03
33,0.32896167371008134,0.5456832051277161,catELMo,random,46,1.0,cluster-random,0.03
34,0.3165950960583157,0.568704276614719,catELMo,random,46,1.0,cluster-random,0.03
35,0.3282498776912689,0.5558130304018657,catELMo,random,46,1.0,cluster-random,0.03
36,0.32182775669627717,0.5653328431977166,catELMo,random,46,1.0,cluster-random,0.03
37,0.3142901625898149,0.5590141733487447,catELMo,random,46,1.0,cluster-random,0.03
38,0.3034714851114485,0.5716751416524252,catELMo,random,46,1.0,cluster-random,0.03
39,0.29683253169059753,0.6124600344234042,catELMo,random,46,1.0,cluster-random,0.03
40,0.2935197505686018,0.5499691247940064,catELMo,random,46,1.0,cluster-random,0.03
