epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.5775680746603449,0.53243686331643,catELMo,random,45,1.0,cluster-random,0.3
1,0.5264642236795786,0.516016415754954,catELMo,random,45,1.0,cluster-random,0.3
2,0.5119859136012027,0.5036285919613308,catELMo,random,45,1.0,cluster-random,0.3
3,0.4989239814927023,0.4934557302792867,catELMo,random,45,1.0,cluster-random,0.3
4,0.48901140198499304,0.49420739147398207,catELMo,random,45,1.0,cluster-random,0.3
5,0.483707271020549,0.4800476373566522,catELMo,random,45,1.0,cluster-random,0.3
6,0.4740028083924587,0.4762308849228753,catELMo,random,45,1.0,cluster-random,0.3
7,0.4667426264393862,0.46826185319158764,catELMo,random,45,1.0,cluster-random,0.3
8,0.46153828501701355,0.46649780803256563,catELMo,random,45,1.0,cluster-random,0.3
9,0.4523734933961243,0.4601898784107632,catELMo,random,45,1.0,cluster-random,0.3
10,0.44694140021458245,0.4574129005273183,catELMo,random,45,1.0,cluster-random,0.3
11,0.4387976828729552,0.4478097587161594,catELMo,random,45,1.0,cluster-random,0.3
12,0.4304317635882305,0.4440811147954729,catELMo,random,45,1.0,cluster-random,0.3
13,0.4280337196096907,0.4469812333583832,catELMo,random,45,1.0,cluster-random,0.3
14,0.42288773496622856,0.4430271077156067,catELMo,random,45,1.0,cluster-random,0.3
15,0.4166393879407636,0.4355627828174167,catELMo,random,45,1.0,cluster-random,0.3
16,0.4116988193465631,0.43813818587197195,catELMo,random,45,1.0,cluster-random,0.3
17,0.4087594660536468,0.42684226327472263,catELMo,random,45,1.0,cluster-random,0.3
18,0.4033723448228582,0.4335769134097629,catELMo,random,45,1.0,cluster-random,0.3
19,0.3963632659817078,0.42338770482275223,catELMo,random,45,1.0,cluster-random,0.3
20,0.39587193691225336,0.4223722630076938,catELMo,random,45,1.0,cluster-random,0.3
21,0.39065710906497914,0.42101483252313404,catELMo,random,45,1.0,cluster-random,0.3
22,0.3897055014889019,0.42173614766862655,catELMo,random,45,1.0,cluster-random,0.3
23,0.38260543989087614,0.43121893246968585,catELMo,random,45,1.0,cluster-random,0.3
24,0.37930835001444196,0.41838303407033284,catELMo,random,45,1.0,cluster-random,0.3
25,0.3785914733040766,0.4143419716093275,catELMo,random,45,1.0,cluster-random,0.3
26,0.3752213947612966,0.41504051314459905,catELMo,random,45,1.0,cluster-random,0.3
27,0.370989606200644,0.41574555238087973,catELMo,random,45,1.0,cluster-random,0.3
28,0.3685325977863451,0.41128263685438365,catELMo,random,45,1.0,cluster-random,0.3
29,0.3656189428482685,0.4111132719781664,catELMo,random,45,1.0,cluster-random,0.3
30,0.36304881067796935,0.41018766072061325,catELMo,random,45,1.0,cluster-random,0.3
31,0.3601520904658116,0.4088235722647773,catELMo,random,45,1.0,cluster-random,0.3
32,0.35467215380631306,0.419075083732605,catELMo,random,45,1.0,cluster-random,0.3
33,0.3528946451924918,0.40466765814357336,catELMo,random,45,1.0,cluster-random,0.3
34,0.35089413213238974,0.4053697833749983,catELMo,random,45,1.0,cluster-random,0.3
35,0.3472281190618828,0.40639731380674576,catELMo,random,45,1.0,cluster-random,0.3
36,0.3478821488005638,0.40774141788482665,catELMo,random,45,1.0,cluster-random,0.3
37,0.34312242751657274,0.401597089237637,catELMo,random,45,1.0,cluster-random,0.3
38,0.3434535742924594,0.4028909929593404,catELMo,random,45,1.0,cluster-random,0.3
39,0.33729052810191473,0.4017286045021481,catELMo,random,45,1.0,cluster-random,0.3
40,0.33702826451460977,0.4014966120984819,catELMo,random,45,1.0,cluster-random,0.3
41,0.3343670080762012,0.4000195251570808,catELMo,random,45,1.0,cluster-random,0.3
42,0.3317726337393152,0.4028220432334476,catELMo,random,45,1.0,cluster-random,0.3
43,0.3293697539670201,0.40149380604426066,catELMo,random,45,1.0,cluster-random,0.3
44,0.3270691114613479,0.40511938518948026,catELMo,random,45,1.0,cluster-random,0.3
45,0.3270799234922592,0.40531939652231,catELMo,random,45,1.0,cluster-random,0.3
46,0.32287300251133416,0.40382374180687797,catELMo,random,45,1.0,cluster-random,0.3
47,0.3226084576750655,0.400846967432234,catELMo,random,45,1.0,cluster-random,0.3
48,0.32073983228575215,0.3982618579599592,catELMo,random,45,1.0,cluster-random,0.3
49,0.3199791494845731,0.3969921372996436,catELMo,random,45,1.0,cluster-random,0.3
50,0.31696623009710145,0.4104009940889147,catELMo,random,45,1.0,cluster-random,0.3
51,0.31624084773004557,0.4071334257390764,catELMo,random,45,1.0,cluster-random,0.3
52,0.31307495460854534,0.4004803784688314,catELMo,random,45,1.0,cluster-random,0.3
53,0.3094600568011724,0.39782040476799013,catELMo,random,45,1.0,cluster-random,0.3
54,0.30790449079648863,0.3970570887459649,catELMo,random,45,1.0,cluster-random,0.3
55,0.30880516683325004,0.4080834839079115,catELMo,random,45,1.0,cluster-random,0.3
56,0.30717289117337343,0.39776429679658676,catELMo,random,45,1.0,cluster-random,0.3
57,0.3007823725556954,0.39845380809572006,catELMo,random,45,1.0,cluster-random,0.3
58,0.30177559547742355,0.41116880708270603,catELMo,random,45,1.0,cluster-random,0.3
59,0.30016927623670964,0.3982741771803962,catELMo,random,45,1.0,cluster-random,0.3
60,0.3007056404567975,0.4105230082405938,catELMo,random,45,1.0,cluster-random,0.3
61,0.29813483464215595,0.40481213596132065,catELMo,random,45,1.0,cluster-random,0.3
62,0.2947142550684029,0.40011298974355064,catELMo,random,45,1.0,cluster-random,0.3
63,0.29249347993340935,0.3992762876881493,catELMo,random,45,1.0,cluster-random,0.3
64,0.2931415373421464,0.404953072865804,catELMo,random,45,1.0,cluster-random,0.3
65,0.29171051780527657,0.4012257684601678,catELMo,random,45,1.0,cluster-random,0.3
66,0.28964902627402506,0.40572242829534744,catELMo,random,45,1.0,cluster-random,0.3
67,0.2891784794142935,0.4041776544517941,catELMo,random,45,1.0,cluster-random,0.3
68,0.2845491945434171,0.4077719276481205,catELMo,random,45,1.0,cluster-random,0.3
69,0.2845558842891368,0.4094372979799906,catELMo,random,45,1.0,cluster-random,0.3
70,0.28585443806063,0.3994821087519328,catELMo,random,45,1.0,cluster-random,0.3
71,0.28205925731427733,0.4026939585473802,catELMo,random,45,1.0,cluster-random,0.3
72,0.28040912661912853,0.40089443577660455,catELMo,random,45,1.0,cluster-random,0.3
73,0.27804176571128986,0.39544369445906746,catELMo,random,45,1.0,cluster-random,0.3
74,0.2764623455822643,0.4020679219563802,catELMo,random,45,1.0,cluster-random,0.3
75,0.2727394085057653,0.40120243310928344,catELMo,random,45,1.0,cluster-random,0.3
76,0.2751750377315847,0.39925588713751897,catELMo,random,45,1.0,cluster-random,0.3
77,0.27289060826254224,0.3998009173075358,catELMo,random,45,1.0,cluster-random,0.3
78,0.27425616061983615,0.40502784013748167,catELMo,random,45,1.0,cluster-random,0.3
79,0.270777319206425,0.40020674877696566,catELMo,random,45,1.0,cluster-random,0.3
80,0.27066658525800685,0.40362761351797316,catELMo,random,45,1.0,cluster-random,0.3
81,0.2665307061734461,0.40873485724131264,catELMo,random,45,1.0,cluster-random,0.3
82,0.26647296644069624,0.4138472943835788,catELMo,random,45,1.0,cluster-random,0.3
83,0.2658747700150782,0.4063964200019836,catELMo,random,45,1.0,cluster-random,0.3
84,0.26402686954324817,0.4063073020511203,catELMo,random,45,1.0,cluster-random,0.3
85,0.2633603187077592,0.4035384624534183,catELMo,random,45,1.0,cluster-random,0.3
86,0.26399238332256253,0.4032350370619032,catELMo,random,45,1.0,cluster-random,0.3
87,0.25796828839660235,0.4094319370057848,catELMo,random,45,1.0,cluster-random,0.3
88,0.25867027128266146,0.40885081052780153,catELMo,random,45,1.0,cluster-random,0.3
89,0.259007243852517,0.40072790013419257,catELMo,random,45,1.0,cluster-random,0.3
90,0.2573244978207618,0.4030908310413361,catELMo,random,45,1.0,cluster-random,0.3
91,0.2566625450252752,0.4126260609096951,catELMo,random,45,1.0,cluster-random,0.3
92,0.25383121497917327,0.40368189215660094,catELMo,random,45,1.0,cluster-random,0.3
93,0.25142859227861825,0.4190709306134118,catELMo,random,45,1.0,cluster-random,0.3
94,0.2504671977032697,0.406077342165841,catELMo,random,45,1.0,cluster-random,0.3
95,0.2528638943776036,0.4159141246477763,catELMo,random,45,1.0,cluster-random,0.3
